id,name,abbrev,division,level,color,logo_url
verona-wildcats-graber,Verona Wildcats - Graber,Graber,uHigh,D1,#14564a,/windmill/teams/verona-wildcats-graber.png
verona-wildcats-brooks,Verona Wildcats - Brooks,Brooks,U14,D2,#b5791a,/windmill/teams/verona-wildcats-brooks.png
siren-softball-ashwill,Siren Softball - Ashwill,Ashwill,U12,D2,#14564a,/windmill/teams/siren-softball-ashwill.png
siren-softball-roe,Siren Softball - Roe,Roe,U14,D3,#0f5a4d,/windmill/teams/siren-softball-roe.png
lake-mills-rec-hoffman-colvin-johnson,Lake Mills Rec - Hoffman/Colvin - Johnson,Johnson,U8 Mach,D4,#c58a1a,/windmill/teams/lake-mills-rec-hoffman-colvin-johnson.png
lm-rec-blm-schultz,LM Rec BLM - Schultz,Schultz,U8 Live,D3,#e8a33d,/windmill/teams/lm-rec-blm-schultz.png
lm-rec-blm-zimmermann,LM Rec BLM - Zimmermann,Zimmermann,U8 Live,D3,#1f9d57,/windmill/teams/lm-rec-blm-zimmermann.png
lm-rec-blm-boettcher,LM Rec BLM - Boettcher,Boettcher,U10,D4,#b5791a,/windmill/teams/lm-rec-blm-boettcher.png
lm-rec-blm-white,LM Rec BLM - White,White,U10,D3,#0f5a4d,/windmill/teams/lm-rec-blm-white.png
lm-rec-blm-boettcher-2,LM Rec BLM - Boettcher,Boettcher,U12,D2,#9c6a10,/windmill/teams/lm-rec-blm-boettcher-2.png
lm-rec-blm-tellefson,LM Rec BLM - Tellefson,Tellefson,U12,D3,#e8a33d,/windmill/teams/lm-rec-blm-tellefson.png
jefferson-pratt,Jefferson - Pratt,Pratt,U10,D2,#0e3d34,/windmill/teams/jefferson-pratt.png
columbus-firebirds-volesky,Columbus Firebirds - Volesky,Volesky,U8 Live,D3,#2b6f61,/windmill/teams/columbus-firebirds-volesky.png
columbus-red-farrington,Columbus Red - Farrington,Farrington,U8 Live,D4,#b5791a,/windmill/teams/columbus-red-farrington.png
columbus-white-breitsprecker,Columbus White - Breitsprecker,Breitsprecke,U8 Live,D4,#0f5a4d,/windmill/teams/columbus-white-breitsprecker.png
jefferson-gold-smith,Jefferson Gold - Smith,Smith,U12,D2,#1f9d57,/windmill/teams/jefferson-gold-smith.png
fort-jbs-scuglik,Fort JBS - Scuglik,Scuglik,U8 Mach,D2,#14564a,/windmill/teams/fort-jbs-scuglik.png
fort-jbs-starks,Fort JBS - Starks,Starks,U10,D4,#1b7d6c,/windmill/teams/fort-jbs-starks.png
fort-jbs-telfer,Fort JBS - Telfer,Telfer,U12,D3,#2b6f61,/windmill/teams/fort-jbs-telfer.png
fort-jbs-grady,Fort JBS - Grady,Grady,U12,D2,#b5791a,/windmill/teams/fort-jbs-grady.png
fort-jbs-unate,Fort JBS - Unate,Unate,U14,D2,#0e3d34,/windmill/teams/fort-jbs-unate.png
fort-jbs-fehrman,Fort JBS - Fehrman,Fehrman,uHigh,D2,#9c6a10,/windmill/teams/fort-jbs-fehrman.png
columbus-firebirds-11u-wiemer,Columbus Firebirds 11U - Wiemer,Wiemer,U12,D3,#0f5a4d,/windmill/teams/columbus-firebirds-11u-wiemer.png
columbus-firebirds-rentmeester,Columbus Firebirds - Rentmeester,Rentmeester,U12,D3,#0e3d34,/windmill/teams/columbus-firebirds-rentmeester.png
waunakee-riek,Waunakee - Riek,Riek,U10 USA,D2,#14564a,/windmill/teams/waunakee-riek.png
waunakee-purple-hoffman,Waunakee Purple - Hoffman,Hoffman,U10,D3,#c58a1a,/windmill/teams/waunakee-purple-hoffman.png
waunakee-white-schneider,Waunakee White - Schneider,Schneider,U10,D3,#14564a,/windmill/teams/waunakee-white-schneider.png
stoughton-schroerluke,Stoughton – Schroerluke,Stoughton,U8 Live,D4,#0e3d34,/windmill/teams/stoughton-schroerluke.png
jefferson-maroon-havill,Jefferson Maroon - Havill,Havill,U12,D3,#1b7d6c,/windmill/teams/jefferson-maroon-havill.png
jefferson-messman,Jefferson - Messman,Messman,U10,D3,#9c6a10,/windmill/teams/jefferson-messman.png
sp-savage-hansbro,SP Savage - Hansbro,Hansbro,U12,D3,#c58a1a,/windmill/teams/sp-savage-hansbro.png
bd-tornados-panetti-2,BD Tornados - Panetti,Panetti,U10 USA,D1,#9c6a10,/windmill/teams/bd-tornados-panetti-2.png
deerfield-schroedl,Deerfield - Schroedl,Schroedl,U8 Mach,D3,#9c6a10,/windmill/teams/deerfield-schroedl.png
deerfield-judkins,Deerfield - Judkins,Judkins,U10,D3,#e8a33d,/windmill/teams/deerfield-judkins.png
deerfield-brobston,Deerfield - Brobston,Brobston,U12,D3,#14564a,/windmill/teams/deerfield-brobston.png
deerfield-fankhauser,Deerfield - Fankhauser,Fankhauser,U14,D3,#1b7d6c,/windmill/teams/deerfield-fankhauser.png
waunakee-1-sheahan,Waunakee 1 - Sheahan,Sheahan,U10,D3,#1f9d57,/windmill/teams/waunakee-1-sheahan.png
waunakee-2-hoffmann,Waunakee 2 - Hoffmann,Hoffmann,U10,D3,#2b6f61,/windmill/teams/waunakee-2-hoffmann.png
